id,num_of_passes,diffTime,average
2460,100,3135,3155
2461,100,3165,3155
2462,100,3091,3155
2463,100,3105,3155
2464,100,3106,3155
2465,100,3045,3155
2466,100,3165,3155
2467,100,3046,3155
2468,100,3090,3155
2469,100,3196,3155
2470,100,3120,3155
2471,100,3090,3155
2472,100,3196,3155
2473,100,3180,3155
2474,100,3181,3155
2475,100,3165,3155
2476,100,3090,3155
2477,100,3120,3155
2478,100,3120,3155
2479,100,3106,3155
2480,100,3210,3155
2481,100,3091,3155
2482,100,3105,3155
2483,100,3120,3155
2484,100,3016,3155
2485,100,3165,3155
2486,100,3121,3155
2487,100,3165,3155
2488,100,3120,3155
2489,100,3121,3155
2490,100,3075,3155
2491,100,3121,3155
2492,100,3165,3155
2493,100,3090,3155
2494,100,3196,3155
2495,100,3225,3155
2496,100,3166,3155
2497,100,3150,3155
2498,100,3135,3155
2499,100,3195,3155
2500,100,3180,3155
2501,100,3091,3155
2502,100,3135,3155
2503,100,3091,3155
2504,100,3120,3155
2505,100,3120,3155
2506,100,3136,3155
2507,100,3150,3155
2508,100,3121,3155
2509,100,3165,3155
2510,100,3090,3155
2511,100,3136,3155
2512,100,3075,3155
2513,100,3061,3155
2514,100,3120,3155
2515,100,3135,3155
2516,100,3166,3155
2517,100,3150,3155
2518,100,3121,3155
2519,100,3105,3155
2520,100,3090,3155
2521,100,3165,3155
2522,100,3150,3155
2523,100,3136,3155
2524,100,3195,3155
2525,100,3181,3155
2526,100,3165,3155
2527,100,3105,3155
2528,100,3151,3155
2529,100,3105,3155
2530,100,3091,3154
2531,100,3075,3154
2532,100,3135,3154
2533,100,3166,3154
2534,100,3075,3154
2535,100,3106,3154
2536,100,3045,3154
2537,100,3075,3154
2538,100,3106,3154
2539,100,3120,3154
2540,100,3106,3154
2541,100,3135,3154
2542,100,3165,3154
2543,100,3195,3154
2544,100,3150,3154
2545,100,3211,3154
2546,100,3135,3154
2547,100,3120,3154
2548,100,3120,3154
2549,100,3120,3154
2550,100,3106,3154
2551,100,3075,3154
2552,100,3121,3154
2553,100,3090,3154
2554,100,3075,3154
2555,100,3121,3154
2556,100,3105,3154
2557,100,3061,3154
2558,100,3135,3154
2559,100,3120,3154
2560,100,3121,3154
2561,100,3180,3154
2562,100,3166,3154
2563,100,3105,3154
2564,100,3180,3154
2565,100,3166,3154
2566,100,3120,3154
2567,100,3136,3154
2568,100,3180,3154
2569,100,3120,3154
2570,100,3120,3154
2571,100,3135,3154
2572,100,3136,3154
2573,100,3090,3154
2574,100,3061,3154
2575,100,3075,3154
2576,100,3090,3154
2577,100,3121,3154
2578,100,3120,3154
2579,100,3136,3154
2580,100,3105,3154
2581,100,3180,3154
2582,100,3091,3154
2583,100,3105,3154
2584,100,3121,3154
2585,100,3135,3154
2586,100,3135,3154
2587,100,3121,3154
2588,100,3195,3154
2589,100,3151,3154
2590,100,3150,3154
2591,100,3075,3154
2592,100,3135,3154
2593,100,3075,3154
2594,100,3136,3154
2595,100,3090,3154
2596,100,3210,3154
2597,100,3180,3154
2598,100,3060,3154
2599,100,3106,3154
2600,100,3105,3154
2601,100,3061,3154
2602,100,3135,3154
2603,100,3120,3154
2604,100,3121,3154
2605,100,3120,3154
2606,100,3181,3154
2607,100,3135,3154
2608,100,3195,3154
2609,100,3166,3154
2610,100,3150,3154
2611,100,3136,3154
2612,100,3120,3154
2613,100,3150,3154
2614,100,3106,3154
2615,100,3165,3154
2616,100,3181,3154
2617,100,3045,3153
2618,100,3105,3153
2619,100,3105,3153
2620,100,3060,3153
2621,100,3091,3153
2622,100,3135,3153
2623,100,3136,3153
2624,100,3180,3153
2625,100,3240,3153
2626,100,3136,3153
2627,100,3165,3153
2628,100,3121,3153
2629,100,3165,3153
2630,100,3075,3153
2631,100,3151,3153
2632,100,3135,3153
2633,100,3121,3153
2634,100,3165,3153
2635,100,3090,3153
2636,100,3076,3153
2637,100,3090,3153
2638,100,3091,3153
2639,100,3105,3153
2640,100,3090,3153
2641,100,3180,3153
2642,100,3180,3153
2643,100,3136,3153
2644,100,3180,3153
2645,100,3196,3153
2646,100,3255,3153
2647,100,3210,3153
2648,100,3181,3153
2649,100,3105,3153
2650,100,3106,3153
2651,100,3120,3153
2652,100,3165,3153
2653,100,3061,3153
2654,100,3075,3153
2655,100,3061,3153
2656,100,3120,3153
2657,100,3120,3153
2658,100,3061,3153
2659,100,3180,3153
2660,100,3136,3153
2661,100,3150,3153
2662,100,3195,3153
2663,100,3255,3153
2664,100,3090,3153
2665,100,3136,3153
2666,100,3120,3153
2667,100,3136,3153
2668,100,3135,3153
2669,100,3150,3153
2670,100,3091,3153
2671,100,3090,3153
2672,100,3076,3153
2673,100,3090,3153
2674,100,3075,3153
2675,100,3136,3153
2676,100,3090,3153
2677,100,3121,3153
2678,100,3180,3153
2679,100,3120,3153
2680,100,3196,3153
2681,100,3165,3153
2682,100,3196,3153
2683,100,3060,3153
2684,100,3120,3153
2685,100,3060,3153
2686,100,3030,3153
2687,100,3136,3153
2688,100,3120,3153
2689,100,3060,3153
2690,100,3075,3153
2691,100,3135,3153
2692,100,3151,3153
2693,100,3180,3153
2694,100,3196,3153
2695,100,3090,3153
2696,100,3165,3153
2697,100,3166,3153
2698,100,3180,3153
2699,100,3196,3153
2700,100,3135,3153
